abbreviation,expansion
IAP,Instrument Approach Procedure
IFR,Instrument Flight Rules
ILS,Instrument Landing System
IMC,Instrument Meteorological Conditions
INTERFAC,Interfacility
IF,Intermediate Fix
INTL,International
IATA,International Air Transport Association
ICAO,International Civil Aviation Organization
IFSS,International Flight Service Station
IRO,International Relief Officer
INTERP,Interpretation
INTXN,Intersection
LLWS,Low Level Wind Shear
LLWAS,Low Level Wind Shear Alert System
M,Mach Number
MAG,Magnetic
MAINT,Maintenance
MGMNT,Management
MGR,Manager
MVFR,Marginal Visual Flight Rules
MCAS,Marine Corps Air Station
MAX,Maximum
MSL,Mean Sea Level
MECH,Mechanic
MF,Medium Frequency
MALS,Medium Intensity Approach Lighting System
MIRL,Medium Intensity Runway Edge Lights
MHZ,Megahertz
MSG,Message
METRO,Metropolitan
MIC,Microphone
MLS,Microwave Landing System
MM,Middle Marker
MI,Mile
MIL,Military
MOA,Military Operating Area
MTR,Military Training Route
MB,Millibars
MCA,Minimum Crossing Altitude
MDA,Minimum Descent Altitude
MEA,Minimum Enroute Altitude
MEL,Minimum Equipment List
MOCA,Minimum Obstruction Clearance Altitude
MSA,Minimum Safe Altitude
MSAW,Minimum Safe Altitude Warning
MVA,Minimum Vector Altitude
MIN(S),Minute(S)
MISC,Miscellaneous
MAP,Missed Approach Point
MCP,Mode Control Panel
MDT,Mountain Daylight Time
KG,Kilogram
KHZ,Kilohertz
KM,Kilometers
KW,Kilowatt
KT(S),Knot(S)
KIAS,Knots Indicated Airspeed
LNDG,Landing
LWOC,Landing Without Clrnc
LZ,Landing Zone
LNAV,Lateral Navigation
LAT,Latitude
L/R,Left/Right
LTSS,Less Than Standard Separation
LTR,Letter
LOA,Letter Of Agreement
LED,Light Emitting Diode
LOS,Line Of Sight
LCD,Liquid Crystal Display
LCL,Local
LC,Local Control
LOC,Localizer
LORAN,Long Range Navigation
LONG,Longitude
LF,Low Frequency
LIRL,Low Intensity Runway Edge Lights
MST,Mountain Standard Time
MFDU,Multi Function Display Unit
MUNI,Municipal
PMC,Pilot Manipulating Controls
PNF,Pilot Not Flying
PIREP(S),Pilot Report
POI,Point Of Interest
POS,Position
PCA,Positive Control Area
PM,Post Meridiem
LB(S),Pound
PWR,Power
PCU,Power Control Unit
PDC,Pre Departure Clearance
PRECIP,Precipitation
PAPI,Precision Approach Path Indicator
PAR,Precision Approach Radar
PVT,Private
PROB(S),Problem
PROC(S),Procedure
PROP(S),Propeller
PROX,Proximity
PA,Public Address
PUB,Publication
NATL,National
NASA,National Aeronautics and Space Administration
NOAA,National Oceanic and Atmospheric Administration
NTSB,National Transportation Safety Board
NWS,National Weather Service
NM,Nautical Mile
NAS,Naval Air Station
NAV,"Navigate, Navigation"
NAVAID,Navigational Aid
NMAC,Near Midair Collision
NORDO,No Radio
NORAC,No Radio Contact
NFCT,Non Federal Control Tower
NDB,Nondirectional Radio Beacon
N,North
NBND,Northbound
NOTAM,Notice to Airmen
QRH,Quick Reference Handbook
RAPCON,Radar Approach Control
RC,Radio Controlled
RDMI,Radio Direction Magnetic Indicator
RF,Radio Frequency
RFI,Radio Frequency Interference
RMI,Radio Magnetic Indicator
RAT,Ram Air Turbine
REF(S),Reference
REG(S),Regulation
RTO,Rejected Takeoff
RPA,Remotely Piloted Aircraft
RA,Resolution Advisory
RESTR,"Restrict, Restricted, Restriction"
RTB,Return to Base
RPM,Revolutions Per Minute
RTE,Route
RAIL,Runway Alignment Indicator Lights
REIL,Runway End Identifier Lights
RVV,Runway Visibility Value
RVR,Runway Visual Range
RWY(S),Runway(S)
ONS,Omega Navigation System
OSD,On-Screen Display
OJT,On-The-Job Training
OP(S),Operation(S)
OPDEV,Operational Deviation
OPERROR,Operational Error
OTS,Out Of Service
OM,Outer Marker
OAT,Outside Air Temperature
OVCST,Overcast
PDT,Pacific Daylight Time
PST,Pacific Standard Time
PAX,Passenger
PLT(S),Pilot
PCL,Pilot Controlled Lighting
PLTDEV,Pilot Deviation
PF,Pilot Flying
PIC,Pilot In Command
SL,Sea Level
SO(S),Second Officer
SELCAL,Selective Calling
SFL,Sequenced Flashing Lights
SVC(S),Service
STOL,Short Takeoff and Landing
SIGMET,Significant Meteorological Information
SIT,Situation
S,South
SBND,Southbound
SVFR,Special Visual Flight Rules
SPEC(S),Specification
SPD,Speed
STAB,Stabilizer
STD,Standard
SID,Standard Instrument Departure
SOP,Standard Operating Procedure
STAR,Standard Terminal Arrival Route
SM,Statute Mile
SUPVR(S),Supervisor
SYS,System
TACAN,Tactical Air Navigation Aid
TKOF(S),Takeoff
TOGW,Takeoff Gross Weight
TXWY,Taxiway
TELCO,Telephone Company
TEMP(S),Temperature
TCA,Terminal Control Area
TRACON,Terminal Radar Approach Control Facility
TRSA,Terminal Radar Service Area
TSTM(S),Thunderstorm
TOC,Top Of Climb
TOD,Top Of Descent
TDZ,Touchdown Zone
TWR(S),Tower
TFC,Traffic
TA,Traffic Advisory
TCAS,Traffic Alert and Collision Avoidance System
TRNG,Training
XMISSION,Transmission
XMIT,Transmit
TX,Transmitter
XPONDER,Transponder
TAS,True Air Speed
TURB,Turbulence
VERT(LY),Vertical
VNAV,Vertical Navigation
VHF,Very High Frequency
VLF,Very Low Frequency
VOR,VFR Omni-Directional Radio Range
VIS,Visibility
VASI,Visual Approach Slope Indicator
VFR,Visual Flight Rules
VMC,Visual Meteorological Conditions
Z,Zulu Time
WX,Weather
WK(S),Week
WT(S),Weight
W,West
WBND,Westbound
WAC,World Aeronautical Chart
